iter	MultiClass
0	1.097771394
1	1.097116934
2	1.096521316
3	1.096155415
4	1.095402201
5	1.09476043
6	1.094004138
7	1.093575314
8	1.09291596
9	1.092343647
10	1.091675425
11	1.090983078
12	1.090153602
13	1.089313413
14	1.088696482
15	1.08815094
16	1.087771473
17	1.087260297
18	1.086956088
19	1.086070135
20	1.085523792
21	1.084957615
22	1.084366067
23	1.083918128
24	1.083306505
25	1.082545445
26	1.081863933
27	1.08136168
28	1.081003679
29	1.080345723
30	1.079728529
31	1.078912059
32	1.078454279
33	1.078070363
34	1.077673607
35	1.077010186
36	1.076412079
37	1.075802199
38	1.075273072
39	1.074771324
40	1.074120254
41	1.073666125
42	1.073206856
43	1.072560883
44	1.072206525
45	1.071598142
46	1.071245491
47	1.070709339
48	1.0702374
49	1.069869944
50	1.069431003
51	1.069053346
52	1.068258627
53	1.067632551
54	1.067051407
55	1.066570881
56	1.066111754
57	1.065637455
58	1.065097896
59	1.064684944
60	1.064098492
61	1.063724616
62	1.063329755
63	1.062836696
64	1.062258727
65	1.061716809
66	1.061263988
67	1.060736421
68	1.060576216
69	1.060084043
70	1.059747771
71	1.059314839
72	1.058636054
73	1.058132898
74	1.057656245
75	1.057197665
76	1.05680024
77	1.056541641
78	1.05612548
79	1.055674729
80	1.055233257
81	1.054902832
82	1.054351136
83	1.053792552
84	1.053270248
85	1.052816298
86	1.052274831
87	1.051938098
88	1.051638251
89	1.051162029
90	1.050626244
91	1.050239775
92	1.049697915
93	1.048946402
94	1.048313088
95	1.047931158
96	1.047350601
97	1.046924155
98	1.046299951
99	1.045912097
