iter	Passed	Remaining
0	2	210
1	4	214
2	6	199
3	7	189
4	10	194
5	12	193
6	14	198
7	17	199
8	19	194
9	21	194
10	23	190
11	25	186
12	28	190
13	30	188
14	32	185
15	34	180
16	36	177
17	38	176
18	40	174
19	42	171
20	46	174
21	48	170
22	50	167
23	52	165
24	54	162
25	56	162
26	58	159
27	62	160
28	64	157
29	65	153
30	67	150
31	69	147
32	71	145
33	75	146
34	77	143
35	78	140
36	80	137
37	82	134
38	84	131
39	86	129
40	88	127
41	90	124
42	92	123
43	94	120
44	96	117
45	98	115
46	99	112
47	101	110
48	103	108
49	105	105
50	107	102
51	109	100
52	111	98
53	114	97
54	116	95
55	117	92
56	120	91
57	122	88
58	124	86
59	126	84
60	128	82
61	130	79
62	132	77
63	135	76
64	138	74
65	141	72
66	143	70
67	145	68
68	146	65
69	148	63
70	150	61
71	152	59
72	154	57
73	156	54
74	157	52
75	159	50
76	161	48
77	163	46
78	167	44
79	169	42
80	170	40
81	173	38
82	175	35
83	177	33
84	179	31
85	181	29
86	183	27
87	185	25
88	187	23
89	190	21
90	192	19
91	195	17
92	197	14
93	199	12
94	202	10
95	204	8
96	206	6
97	208	4
98	211	2
99	213	0
